employee_id,first_name,last_name,full_name,email,city,department
3030,Margareta,Jordan,Margareta Jordan,Margaretaj@gmail.com,New Claudia,BI
3606,Lillian,Roberson,Lillian Roberson,Lillianr@gmail.com,Cuevasfurt,BI
2740,Robert,Barnes,Robert Barnes,Robertb@gmail.com,Jeffreyshire,Marketing
3396,Thomas,Sykes,Thomas Sykes,Thomass@gmail.com,West Robert,Marketing
1783,Barbara,Tolle,Barbara Tolle,Barbarat@gmail.com,West Mark,Finance
2971,Chasity,Haywood,Chasity Haywood,Chasityh@gmail.com,Herringport,Marketing
818,Buster,Carstens,Buster Carstens,Busterc@gmail.com,Gibsonchester,BI
1295,Ashley,Vasquez,Ashley Vasquez,Ashleyv@gmail.com,New Sarahfort,Finance
2069,Steven,Lozano,Steven Lozano,Stevenl@gmail.com,Tinaland,Finance
1834,Elizabeth,Donegan,Elizabeth Donegan,Elizabethd@gmail.com,New Brandontown,Finance
130,William,Costa,William Costa,Williamc@gmail.com,East David,BI
1644,Benjamin,Boucher,Benjamin Boucher,Benjaminb@gmail.com,Lake Katherineburgh,Sales
740,Lucille,Lee,Lucille Lee,Lucillel@gmail.com,New Jessicatown,BI
240,David,Ochoa,David Ochoa,Davido@gmail.com,Walkerberg,Sales
2808,Velma,Holland,Velma Holland,Velmah@gmail.com,West James,Marketing
3213,Marion,Steffen,Marion Steffen,Marions@gmail.com,Rodriguezborough,Sales
601,Carol,Valenza,Carol Valenza,Carolv@gmail.com,North Amyport,Finance
1106,Ray,Thomas,Ray Thomas,Rayt@gmail.com,Clarkport,BI
1130,Deborah,Taylor,Deborah Taylor,Deboraht@gmail.com,Joshuashire,Finance
532,Jennifer,Wilt,Jennifer Wilt,Jenniferw@gmail.com,Lake Karen,Sales
2905,Xavier,Weakland,Xavier Weakland,Xavierw@gmail.com,North Melissaside,Sales
3667,Terri,Ford,Terri Ford,Terrif@gmail.com,Lake Paige,Marketing
689,Shari,Mctaggart,Shari Mctaggart,Sharim@gmail.com,Johnmouth,BI
2576,James,Ingram,James Ingram,Jamesi@gmail.com,Kelleyberg,Sales
768,Henry,Lopresti,Henry Lopresti,Henryl@gmail.com,New Brenda,Sales
2652,Enrique,Dickson,Enrique Dickson,Enriqued@gmail.com,Mcdonaldberg,BI
3953,Carol,Shupe,Carol Shupe,Carols@gmail.com,Brianfort,Sales
1166,Tyler,Kane,Tyler Kane,Tylerk@gmail.com,Josephport,Sales
1529,Laura,High,Laura High,Laurah@gmail.com,Willisview,Marketing
3948,Paige,Maurey,Paige Maurey,Paigem@gmail.com,Angelamouth,Marketing
393,Vicki,Hambric,Vicki Hambric,Vickih@gmail.com,North Michaelburgh,Finance
600,Ronnie,Guthrie,Ronnie Guthrie,Ronnieg@gmail.com,Gordonburgh,BI
2820,Dan,Sturgill,Dan Sturgill,Dans@gmail.com,Port John,Finance
111,Thelma,Abrams,Thelma Abrams,Thelmaa@gmail.com,Lake Jose,Marketing
2297,Lorie,Herrera,Lorie Herrera,Lorieh@gmail.com,South Jessica,Sales
3612,Jennifer,Carter,Jennifer Carter,Jenniferc@gmail.com,East Jasonton,Finance
542,Bennie,Conner,Bennie Conner,Benniec@gmail.com,Jasonhaven,Marketing
2341,Seth,Santana,Seth Santana,Seths@gmail.com,Coreyborough,BI
2172,Donna,Peralez,Donna Peralez,Donnap@gmail.com,Port Lisaton,BI
2798,Elmer,Wright,Elmer Wright,Elmerw@gmail.com,South Karen,Sales
262,Bruno,Gentes,Bruno Gentes,Brunog@gmail.com,South Lawrenceport,Finance
2832,Raul,Porter,Raul Porter,Raulp@gmail.com,Gonzalezton,Marketing
1710,Dianne,Sarkisian,Dianne Sarkisian,Diannes@gmail.com,South Marystad,Sales
2226,Tracy,Corona,Tracy Corona,Tracyc@gmail.com,East Robertfurt,Marketing
2061,Betsy,Paul,Betsy Paul,Betsyp@gmail.com,West Kaylaberg,Marketing
2886,Dorothy,Jones,Dorothy Jones,Dorothyj@gmail.com,Port Alison,Finance
313,Angela,Walker,Angela Walker,Angelaw@gmail.com,Morrowville,Sales
85,Alexander,Rice,Alexander Rice,Alexanderr@gmail.com,Millerfort,Marketing
311,Mary,Hernandez,Mary Hernandez,Maryh@gmail.com,Michaelview,Marketing
1158,Brenda,Carrero,Brenda Carrero,Brendac@gmail.com,North Brianland,BI
1495,Donald,Hughes,Donald Hughes,Donaldh@gmail.com,Bentleymouth,Marketing
1447,Michael,Mcquaid,Michael Mcquaid,Michaelm@gmail.com,East Michele,Marketing
3629,Daniel,Rowe,Daniel Rowe,Danielr@gmail.com,New Kristin,BI
904,David,Herman,David Herman,Davidh@gmail.com,New Danatown,Finance
3335,Gary,Yeager,Gary Yeager,Garyy@gmail.com,West Masonshire,BI
3930,Lowell,Cope,Lowell Cope,Lowellc@gmail.com,Johnsonfurt,Finance
2656,Dan,Batts,Dan Batts,Danb@gmail.com,Smithmouth,Sales
787,James,Johnson,James Johnson,Jamesj@gmail.com,Smithview,BI
1763,Tammy,Moore,Tammy Moore,Tammym@gmail.com,Gonzalezchester,Marketing
776,Katie,Pereira,Katie Pereira,Katiep@gmail.com,East Albert,Sales
1117,Eva,Boyd,Eva Boyd,Evab@gmail.com,Port Josephfurt,BI
332,Terrie,Thomas,Terrie Thomas,Terriet@gmail.com,Hicksside,Finance
1958,Adam,Emerson,Adam Emerson,Adame@gmail.com,Port Sarahshire,Sales
74,Juanita,Pele,Juanita Pele,Juanitap@gmail.com,East Robertoville,Finance
2280,James,Maurer,James Maurer,Jamesm@gmail.com,Port Rebeccaton,BI
1256,Birdie,Hale,Birdie Hale,Birdieh@gmail.com,South Antonio,Sales
2698,Richard,Charles,Richard Charles,Richardc@gmail.com,Martinland,Sales
2487,Daniel,Briscoe,Daniel Briscoe,Danielb@gmail.com,South Michaelburgh,BI
